Occ_Industry_or_other,%Time_invested_in_work,trans_Car,Occ_Public_Sector,Issue_Financial,Married,Number_of_valued_Kneset_members,Looking_at_poles_results,Yearly_ExpensesK,Last_school_grades,Issue_Social,Issue_Education,Occupation_Satisfaction,Phone_minutes_10_years,Occ_Hightech,Avg_Residancy_Altitude,Vote
0,1.7490717928444521,1,0,0,1.0,-0.28853444718468974,1.0,-1.392477322260197,0.7959881532945516,0,0,2.0,-0.667810176831538,0,0.11741490104932094,Pinks
0,-1.277145369227293,0,1,0,1.0,-0.6608705116440524,1.0,0.1206464864916357,-1.3255800354718927,0,0,7.0,-0.6079225597202578,0,-0.1939454803562277,Oranges
1,0.017159055330603627,0,0,0,1.0,0.08380161727467292,1.0,-0.5584406887894798,-0.2647959410886706,1,0,4.0,-0.32678219718795043,0,-0.38520542534690716,Purples
0,-0.07137884691487831,0,0,0,1.0,0.08380161727467292,1.0,-1.2529729869126456,0.7959881532945516,0,0,5.0,-0.4347218633008742,0,1.2343489597076054,Blues
0,-0.2556731335021859,1,0,1,1.0,0.08380161727467292,1.0,0.016276435710521252,-0.7951879882802817,0,0,2.0,-0.22931202201460787,1,-0.16992539307325408,Purples
0,0.8317605468366096,0,0,0,1.0,-0.6608705116440524,1.0,-1.2838632325967463,-0.2647959410886706,1,0,8.0,-0.33788340458032806,1,0.05196016320321691,Purples
0,0.6359934773304867,0,0,0,0.0,1.5731458751121237,1.0,1.1305582284540872,1.326380200486163,0,1,5.453929539295393,2.811314888465093,0,0.3984499222601148,Khakis
0,-0.4312734362617131,0,1,0,1.0,0.4561376817340356,1.0,-1.205641158848298,0.26559610610294054,0,0,9.0,-0.8026056065985664,0,1.2058251060590741,Yellows
0,0.7466493787182398,0,0,0,1.0,0.4561376817340356,1.0,-1.615684258816279,0.26559610610294054,0,0,2.0,-0.42310228985617127,1,0.2519273898339744,Purples
0,0.1326287342974063,1,0,0,1.0,0.4561376817340356,0.0,0.07246879730796243,1.326380200486163,0,1,5.602015113350126,-0.773340953694151,0,-0.5161149010391147,Greens
0,0.36155962889297405,1,0,0,1.0,0.8284737461933983,1.0,0.6637169348088888,0.26559610610294054,0,0,7.0,-1.0205880327462853,1,0.6797851945619464,Khakis
0,-0.6723350236301371,0,0,1,1.0,-0.6608705116440524,1.0,-0.07964188068592001,-0.7951879882802817,0,0,8.0,-1.0336381709430162,1,1.1277598223894088,Turquoises
0,-1.67703367970342,0,0,0,0.0,-0.28853444718468974,1.0,1.6442331203945346,-1.855972082663504,0,0,3.0,0.5192267611064393,0,-1.1121133167479036,Greys
0,-0.08989644934235962,0,0,0,0.0,-0.28853444718468974,0.0,-1.2514782976053505,0.26559610610294054,0,0,2.0,2.8958648658209967,0,1.8339503885088408,Violets
1,-1.6491823508663737,1,0,0,1.0,0.8284737461933983,1.0,-0.4383673144367661,0.7959881532945516,0,0,8.0,-0.5233215168358059,0,0.7434384258618271,Blues
0,-0.6338180315122683,0,0,1,1.0,-0.6608705116440524,1.0,0.6527558798887241,-0.7951879882802817,0,0,6.0,-0.7305794650047416,1,-1.1151158276582753,Greens
0,0.017159055330603627,1,0,0,1.0,-0.6608705116440524,1.0,1.3891394786161553,-0.2647959410886706,1,0,5.495108695652174,-0.3667476023666432,0,-1.5588869402112175,Purples
1,0.046005533845234536,0,0,0,1.0,0.8284737461933983,1.0,-0.8314706022554016,0.26559610610294054,0,0,7.0,-0.3420529343155129,0,-0.22066782745853622,Purples
0,-1.0308504405399734,0,0,1,1.0,-2.150214769481503,1.0,0.294030446137878,-0.7951879882802817,0,0,9.0,-0.1355755218100313,0,-0.8989350421115107,Browns
0,1.250280469817424,0,1,0,0.0,0.8284737461933983,0.0,-0.46576995173717795,0.26559610610294054,0,0,10.0,2.711075398807487,0,1.360454417943218,Khakis
0,1.2061228866942617,0,0,0,1.0,0.8284737461933983,0.0,0.8032212701564401,1.326380200486163,0,1,7.0,-1.0383476481179776,0,0.5957148890715379,Khakis
0,1.6263679480925914,0,1,0,1.0,0.08380161727467292,1.0,-0.2530258403321623,0.26559610610294054,0,0,4.0,-1.0020210638929365,0,1.2322472020703452,Khakis
0,0.46007385918609706,1,0,0,1.0,-1.7778787050221405,0.0,0.732970872713566,-0.2647959410886706,1,0,5.0,-0.6349542231147833,1,-1.1634562533152601,Pinks
0,0.06722784443814693,1,0,0,0.0,-0.6608705116440524,0.0,1.4529128890607501,0.7959881532945516,0,0,4.0,-0.003467330022578729,1,-1.5973190798639758,Whites
0,0.14762041144055124,0,0,0,0.0,1.5731458751121237,1.0,0.6901231125711038,0.7959881532945516,0,0,2.0,0.712217219870386,1,0.06336970466262984,Blues
0,0.5642011425773068,0,0,0,1.0,-0.6608705116440524,1.0,1.1460033512961374,-0.2647959410886706,1,0,5.0,-0.17734361114115,0,-1.412364407785077,Purples
1,1.060239708572771,1,0,0,1.0,-2.150214769481503,1.0,1.1395263642978581,-2.386364129855115,0,0,7.0,-0.41619623278752377,0,-0.8079589615272471,Oranges
0,0.5423525018691342,0,1,0,0.0,0.8284737461933983,1.0,1.0827281706206409,0.7959881532945516,0,0,1.0,0.5174269757371502,0,0.4272740269996835,Turquoises
0,0.5308581274284839,0,1,0,1.0,-0.28853444718468974,0.5075268817204301,1.1534767978326133,-0.2647959410886706,1,0,3.0,-0.2366227207084293,0,-1.4168681741506344,Purples
0,-0.8649491141889232,0,0,0,1.0,0.4561376817340356,0.0,0.8978849262851355,0.26559610610294054,0,0,2.0,-0.7063179343521369,1,-1.2628393644485645,Greens
0,-1.5527156647526472,1,0,0,0.0,0.08380161727467292,0.0,0.9835804465700598,0.26559610610294054,0,0,6.0,1.4707569927784314,1,0.4870239941160809,Khakis
1,1.5121987115408262,1,0,0,1.0,0.08380161727467292,1.0,-0.6167335717739924,-0.2647959410886706,1,0,3.0,-1.0398051443831213,0,1.4514304985274817,Khakis
0,-1.0041816915902593,1,1,0,1.0,0.8284737461933983,0.0,-0.5743840414006286,-0.2647959410886706,1,0,5.0,-0.6656478018263197,0,-0.37559739043371765,Greens
0,-1.284362218626969,0,1,0,1.0,1.200809810652761,1.0,-0.42391865113291255,0.7959881532945516,0,0,6.0,-0.5918162322958955,0,1.3352333262960956,Khakis
0,1.5237809364036992,0,0,0,1.0,0.8284737461933983,0.0,-0.2151603778806841,0.26559610610294054,0,0,10.0,-0.9363965433461103,1,1.20942811915152,Khakis
0,1.475999156802927,1,0,0,0.0,0.4561376817340356,1.0,-1.6988886302557114,0.26559610610294054,0,0,4.0,2.800762575745522,0,2.1035758682602217,Khakis
0,-1.6941730208534935,1,0,0,1.0,0.08380161727467292,1.0,0.08477394311655109,0.7959881532945516,0,0,1.0,-1.0340250888815428,0,1.0286769623471415,Violets
0,-0.8716262166600768,0,1,0,1.0,-0.6608705116440524,0.0,0.16847654432508186,-1.855972082663504,0,0,10.0,-0.315557613436786,0,-0.2227695850957966,Greys
